tyreManufacturing,TyreAssemblyProcess,CompoundMixingProcess,calandrage,RawMaterialForElastomer,ElastomerSynthesisProcess,ChemicalPlant,RealElastomer,ElastomerCharacterization
Michelin,Radial Tyre Building,Internal Mixing (High Shear),Multi-Roll Calender,Natural Rubber,Solution Polymerization,Michelin,Yes,Moving Die Rheometry (MDR)
Michelin,Belt Building,Internal Mixing,3-Roll Calender,Styrene Butadiene Rubber (SBR),Emulsion Polymerization,Dow Chemical,Yes,Gel Content (%)
Michelin,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,Natural Rubber,Solution Polymerization,Michelin,Yes,Moving Die Rheometry (MDR)
Michelin,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender (High Friction),Polyisoprene Rubber (IR), Carbon Black,Bulk Polymerization with Modifiers,Yes,Fourier Transform Infrared Spectroscopy (FTIR)
Michelin,Tyre Curing,Banbury Mixing,Sheeting Calender,Polyisoprene Rubber (IR),Bulk Polymerization,ExxonMobil,Yes,Fourier Transform Infrared Spectroscopy (FTIR)
Michelin,Mold Cure Pressure: 10 MPa,Internal Mixing (High Shear),Multi-Roll Calender,Styrene-Butadiene Rubber (SBR), Silica,Emulsion Polymerization with Chain Extension,Yes,Gel Content (%)
Michelin,Tyre Treading,Internal Mixing,Multi-Roll Calender,Butadiene Rubber (BR),Gas-Phase Polymerization,BASF,Yes,Nuclear Magnetic Resonance (NMR)
Michelin,Tyre Molding,Two-Stage Mixing,Sheeting Calender,Ethylene-Propylene Diene Monomer (EPDM),High-Pressure Polymerization,LyondellBasell,Yes,Scanning Electron Microscopy (SEM)
Michelin,Mold Cure Pressure: 10 MPa,Internal Mixing (High Shear),3-Roll Calender (Fabric Feed),Styrene-Butadiene Rubber (SBR), Silica,Emulsion Polymerization with Chain Extension,Yes,Gel Content (%)
Michelin,Single-Stage Cure,Two-Stage Mixing (Internal & Banbury),4-Roll Calender (Sheeting),Natural Rubber, High-Cis Polybutadiene (BR),Solution Polymerization with Coupling Agents,Yes,Moving Die Rheometry (MDR)
Michelin,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender (High Friction),Polyisoprene Rubber (IR), Carbon Black,Bulk Polymerization with Modifiers,Yes,Fourier Transform Infrared Spectroscopy (FTIR)
Michelin,Mold Cure,Internal Mixing (Dispersive),Multi-Roll Calender (Cooling Drum),Butadiene Rubber (BR), Silica Precipitate,Gas-Phase Polymerization with RAFT Agents,Yes,Nuclear Magnetic Resonance (NMR)
Michelin,Bladder Curing,Two-Stage Mixing (Banbury & Internal),Sheeting Calender (Film Extrusion),Ethylene-Propylene Diene Monomer (EPDM), Curatives,High-Pressure Polymerization with Branching,Yes,Scanning Electron Microscopy (SEM)
Michelin,Tyre Treading,Internal Mixing (Dispersive),3-Roll Calender (Sheeting),(Synthetic Rubber Blend),Emulsion Polymerization with Chain Extendors,BASF,Yes,Gel Content (%)
Michelin,Tyre Molding,Two-Stage Mixing (Cooling),4-Roll Calender (Sheeting),(Natural Rubber + Additives),Solution Polymerization with Modifiers,LyondellBasell,Yes,Moving Die Rheometry (MDR)
Michelin,Mold Cure Pressure: 10 MPa,Banbury Mixing (Intensive),Sheeting Calender (Cooling Drum),(Synthetic Rubber Blend),Bulk Polymerization with Curatives,Zeon Corporation,Yes,Fourier Transform Infrared Spectroscopy (FTIR)
Michelin,Belt Building,Internal Mixing (High Shear),Multi-Roll Calender (Film Extrusion),(Butadiene Rubber Compound),Gas-Phase Polymerization with Branching Agents,TSRC Corporation,Yes,Nuclear Magnetic Resonance (NMR)
Michelin,Belt Building,Two-Stage Mixing (Banbury & Internal),Sheeting Calender (Sheeting),EPDM Compound,High-Pressure Polymerization with Silanes,LG Chem,Yes,Scanning Electron Microscopy (SEM)
Michelin,Radial Tyre Building,Internal Mixing,4-Roll Calender (Sheeting),Styrene Butadiene Rubber (SBR),High-Pressure Polymerization,Versalis,No,Nuclear Magnetic Resonance (NMR)
Michelin,Tyre Curing,Two-Stage Mixing,Sheeting Calender (High Friction),Natural Rubber,Emulsion Polymerization with Chain Extension,BASF,No,Scanning Electron Microscopy (SEM)
Michelin,Tyre Treading,Internal Mixing,Multi-Roll Calender (Cooling Drum),Polyisoprene Rubber (IR),Solution Polymerization with Coupling Agents,BASF,Yes,Gel Content (%)
Michelin,Tyre Molding,Two-Stage Mixing,Sheeting Calender (Film Extrusion),Butadiene Rubber (BR),Bulk Polymerization with Modifiers,BASF,No,Moving Die Rheometry (MDR)
Michelin,Mold Cure Pressure: 10 MPa,Banbury Mixing,3-Roll Calender (Sheeting),Ethylene-Propylene Diene Monomer (EPDM),Gas-Phase Polymerization with RAFT Agents,LyondellBasell,No,Fourier Transform Infrared Spectroscopy (FTIR)
Michelin,Single-Stage Cure,Internal Mixing,4-Roll Calender (Sheeting),Styrene-Butadiene Rubber (SBR), Silica,High-Pressure Polymerization with Branching,Yes,Nuclear Magnetic Resonance (NMR)
Michelin,Microwave Curing,Two-Stage Mixing,Sheeting Calender (Cooling Drum),Natural Rubber, High-Cis Polybutadiene (BR),Emulsion Polymerization with Chain Extendors,Yes,Scanning Electron Microscopy (SEM)
Michelin,Mold Cure,Internal Mixing (High Shear),Multi-Roll Calender (Film Extrusion),Polyisoprene Rubber (IR), Carbon Black,Solution Polymerization with Modifiers,No,Nuclear Magnetic Resonance (NMR)
Michelin,Bladder Curing,Two-Stage Mixing (Internal & Banbury),Sheeting Calender (Sheeting),Butadiene Rubber (BR), Silica Precipitate,Bulk Polymerization with Curatives,Yes,Scanning Electron Microscopy (SEM)
